createdAt;createdBy;modifiedAt;modifiedBy;tenant;ID;hierarchyLevel;shallowReference;deepReference;title;description;parent_ID;mappingID;manager_userPrincipalName;absoluteReference
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;d846ed9f-fc4d-42a7-952f-0f52b02caf74;0;0;0;DELETED;DELETED;;;;
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;48d9e826-e8e0-4740-9a06-9678289e7633;0;1;1;Manufactum;;;;;
2021-05-02 14:55:08.091;anonymous;2021-05-28 13:28:42.083;Benedikt.Hoelker@iot-online.de;d439e362-ecdf-4d78-8fed-86c7c639b131;f7847ed4-1ea9-4e99-b2cb-b30d5afcce48;0;2;2;Frankonia;;;;;
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;1ec5e099-2373-45a1-b937-aa81a0afd060;0;3;3;Intorq;;;;;
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;382d21b9-5da7-4661-96c3-f28196a0401f;0;4;4;Phoenix Contact;;;;;
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;e1bde938-695d-40a1-87e3-7458538e5611;0;5;5;Esprit;;;;;
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;830f1de8-f355-4d75-964a-6fb9a9167f42;0;6;6;Kendrion;;;;;
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;f08c9b63-3e1c-403e-946c-fdbc77a64eba;0;7;7;Consult-SK;;;;;
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;32a65d98-d32c-41b7-b525-3be5caeabffe;0;8;8;Vonovia;;;;;
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;af614f31-9823-47ca-b2c3-ab5dc7a10e5d;0;9;9;CAS HCOB;;;;;
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;51112c9f-28a8-4f27-834e-db850cb8218a;0;10;10;IOT GmbH;;;;;
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;cc9a6a23-7afe-4e79-86b2-d43c36e4158c;0;11;11;Wuppertaler Stadtwerke;;;;;
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;5601805f-8801-45d9-bde7-fc3863e205ce;0;12;12;KEB Automation GmbH;;;;;
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;3d15c8e5-9b70-4d47-9942-452e06728571;0;13;13;Privat;;;;;
2021-05-02 14:55:08.091;Benedikt.Hoelker@iot-online.de;2021-05-02 14:55:08.091;Benedikt.Hoelker@iot-online.de;d439e362-ecdf-4d78-8fed-86c7c639b131;1dc43734-beef-4e25-81cd-63822ef303ab;0;14;14;CAS AG;;;;;
2021-07-25 07:36:30.987429;benedikt.hoelker@iot-onlinde.;2021-07-25 07:36:30.987429;benedikt.hoelker@iot-onlinde.;d439e362-ecdf-4d78-8fed-86c7c639b131;0f709da0-36b5-497a-8616-a03b700e936b;0;15;15;Stabilus;;;;;
2021-10-25 08:44:30.404366;Benedikt.Hoelker@iot-online.de;2021-10-25 08:49:04.249506;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;3a479c15-7bb1-4380-aaf2-89200c6e389b;0;16;16;Mennekes Elektrotechnik GmbH & Co. KG;;;;;
2021-10-31 18:23:04.327957;Benedikt.Hoelker@iot-online.de;2021-10-31 18:23:04.327957;Benedikt.Hoelker@iot-online.de;d439e362-ecdf-4d78-8fed-86c7c639b131;d6fe438a-07b7-44c1-b959-4017b430fda7;0;17;17;Gelsenwasser;;;;;
;;;;;b3efd4af-31bf-4065-9152-5b28c36e3997;0;18;18;IAL GmbH;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;b42b7346-80a2-4fd1-b40b-068028b96de0;026f4809-4a4e-43ab-8696-22ff41cb34a8;0;1;1;alphalogs intern;;;;;
;;;;b42b7346-80a2-4fd1-b40b-068028b96de0;261e6498-d7e2-4535-bf37-cb6c6faa74ee;0;2;2;E/D/E;;;;;
;;;;b42b7346-80a2-4fd1-b40b-068028b96de1;1f3f5e7a-4eff-4c3e-8a68-cde83ba64df4;0;3;3;ALSO;;;;;
;;;;b42b7346-80a2-4fd1-b40b-068028b96de0;22974ac8-a454-437e-9526-f0fc1e978349;1;1;01. Jan;Qualitätsmanagement;;026f4809-4a4e-43ab-8696-22ff41cb34a8;;;0
;;;;b42b7346-80a2-4fd1-b40b-068028b96de0;dffb1b8f-7e5a-450d-9763-c327ba3db46e;1;2;01. Feb;Akquisition;;026f4809-4a4e-43ab-8696-22ff41cb34a8;;;10000
;;;;b42b7346-80a2-4fd1-b40b-068028b96de0;474d3645-9804-4bbd-a588-d005d32e3fd8;1;3;01. Mrz;Weiterbildung;;026f4809-4a4e-43ab-8696-22ff41cb34a8;;;20000
;;;;b42b7346-80a2-4fd1-b40b-068028b96de0;f7776ad1-90ea-4300-97c8-c1cf8e9baa3d;1;4;01. Apr;Verwaltung;;026f4809-4a4e-43ab-8696-22ff41cb34a8;;;30000
;;;;b42b7346-80a2-4fd1-b40b-068028b96de0;a562e840-0f3d-4335-8766-2f3c6a488eac;1;5;01. Mai;Personal;;026f4809-4a4e-43ab-8696-22ff41cb34a8;;;31000
;;;;b42b7346-80a2-4fd1-b40b-068028b96de0;0944cc7f-fcf0-4bf0-9ba0-a593210e0513;1;6;01. Jun;IT;;026f4809-4a4e-43ab-8696-22ff41cb34a8;;;32000
;;;;b42b7346-80a2-4fd1-b40b-068028b96de0;92f5c666-f370-4a60-8fa0-2ed3c642bab5;1;7;01. Jul;Führung;;026f4809-4a4e-43ab-8696-22ff41cb34a8;;;33000
2021-05-06 08:42:50.069;Benedikt.Hoelker@iot-online.de;2021-05-02 12:55:08.091;Benedikt.Hoelker@iot-online.de;d439e362-ecdf-4d78-8fed-86c7c639b131;d701630f-0651-4b28-be84-848fe9913f1b;1;1;14. Jan;Saxonia Coaching;Coaching insb. Tizian Dauler (WM-Anwendungen);1dc43734-beef-4e25-81cd-63822ef303ab;850-CAS2105-Fiori-Readiness-Check;;
2021-05-02 12:55:08.091;benedikt.hoelker@iot-onlinde.;2021-05-02 12:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;26374956-98fb-4850-b544-f757fe536e96;1;1;15. Jan;PM Apps;Erfassung von Aufträgen und Nachschlagen von Ersatzteilverfügbarkeiten;0f709da0-36b5-497a-8616-a03b700e936b;610-IOT1302-DUMMY;;
2021-05-06 08:42:50.069;Benedikt.Hoelker@iot-online.de;2021-05-06 08:42:50.069;Benedikt.Hoelker@iot-online.de;d439e362-ecdf-4d78-8fed-86c7c639b131;151d0142-afae-4dd8-bcc7-9402677c84fa;1;1;14. Feb;CAS AG Fiori Unterstützung;Fiori @ CAS;1dc43734-beef-4e25-81cd-63822ef303ab;850-CAS2105-Fiori-Readiness-Check;;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;020db38e-6449-4f97-a9ff-176e962966e4;1;1;03. Jan;Intorq Kommissioniercockpit;Fiori Entwicklung Kommi-Cockpit;1ec5e099-2373-45a1-b937-aa81a0afd060;749-INQ1601-Einführung-SAP-EWM;;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;b5cfe8cd-174f-4491-9e99-d81742725825;1;2;03. Feb;Versandcockpit;Intorq Versandcockpit;1ec5e099-2373-45a1-b937-aa81a0afd060;800-INQ1901-FIORI;;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;9f6c35c0-8b2e-46f8-832b-857e84c59240;1;3;03. Mrz;Intorq Wartung;Wartung EWM & Kommi-Cockpit;1ec5e099-2373-45a1-b937-aa81a0afd060;812-INQ2001-Wartung-&-Support;;
2021-05-02 12:55:08.091;benedikt.hoelker@gmail.com;2021-05-02 12:55:08.091;benedikt.hoelker@gmail.com;d439e362-ecdf-4d78-8fed-86c7c639b131;e472e9e0-430e-41b9-87d1-fc1f515c9f23;1;1;03. Apr;Test;;1ec5e099-2373-45a1-b937-aa81a0afd060;;;
;;;;b42b7346-80a2-4fd1-b40b-068028b96de0;73d84a9b-d76f-42c8-af30-8c3a787eb82e;1;1;03. Jan;Neues Distributionszentrum;;1f3f5e7a-4eff-4c3e-8a68-cde83ba64df4;;;51404
;;;;b42b7346-80a2-4fd1-b40b-068028b96de0;8b533181-ad4e-43b4-a4c3-44a786492c2d;1;1;02. Jan;Standortstrategie ;;261e6498-d7e2-4535-bf37-cb6c6faa74ee;;;51401
;;;;b42b7346-80a2-4fd1-b40b-068028b96de0;022c671d-713a-4387-9fb6-12498912d7b8;1;2;02. Feb;WMS;;261e6498-d7e2-4535-bf37-cb6c6faa74ee;;;51402
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;bef53567-8442-482b-aa43-28007e2385b8;1;1;08. Jan;Vonovia HWK;Handwerkerkopplung;32a65d98-d32c-41b7-b525-3be5caeabffe;848-VON2101-Handwerkerkopplung-2.0;;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;1a3007e3-7adb-4416-82f3-f17ba16a0442;1;1;04. Jan;Phoenix Contact;Fiori Einfuehrung;382d21b9-5da7-4661-96c3-f28196a0401f;;;
2021-05-02 12:55:08.091;Benedikt.Hoelker@iot-online.de;2021-05-02 12:55:08.091;Benedikt.Hoelker@iot-online.de;d439e362-ecdf-4d78-8fed-86c7c639b131;2b644adc-a980-4cb4-8c1a-ff3d6899a81c;1;1;16. Jan;Ablösung BSPs;;3a479c15-7bb1-4380-aaf2-89200c6e389b;862-MEN2101-FIORI;;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;14d5f223-0e2f-4e87-84dc-7f74e6336738;1;1;13. Jan;Privat;;3d15c8e5-9b70-4d47-9942-452e06728571;Privat;;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;6cbc3e99-169b-4abf-af2f-53b86b4db421;1;1;01. Jan;Fiori bei Manufactum;B&B Erweiterung Reservierungsapp;48d9e826-e8e0-4740-9a06-9678289e7633;837-MAN2102-Kleinstprojekte;;
2021-05-02 12:55:08.091;benedikt.hoelker@gmail.com;2021-05-02 12:55:08.091;benedikt.hoelker@gmail.com;d439e362-ecdf-4d78-8fed-86c7c639b131;bf1f1aa2-fdfc-4253-9f30-a0ba3da9557d;1;1;01. Feb;Ein neues Projekt;;48d9e826-e8e0-4740-9a06-9678289e7633;789;;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;ddf29771-86bb-48d5-adac-962f6d3a75b8;1;1;10. Jan;Interne Aufschreibung;;51112c9f-28a8-4f27-834e-db850cb8218a;835-IOT2101-Interne-Aufschreibung;;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;da46c750-02d0-4939-959c-cd4237ffe9a8;1;2;10. Feb;Vertrieb;;51112c9f-28a8-4f27-834e-db850cb8218a;815-IOT2002-Vertrieb;;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;cb1cfc22-a33f-4c2e-b2d4-465755b00353;1;3;10. Mrz;IOT Wochenplanung;;51112c9f-28a8-4f27-834e-db850cb8218a;835-IOT2101-Interne-Aufschreibung;;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;964dda6e-d9d9-4c22-be14-6fb2cda9e350;1;4;10. Apr;IOT Check-in Meeting;;51112c9f-28a8-4f27-834e-db850cb8218a;835-IOT2101-Interne-Aufschreibung;;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;43dccf1c-e168-4e69-9444-9aad73fa8ec8;1;5;10. Mai;Urlaub;;51112c9f-28a8-4f27-834e-db850cb8218a;835-IOT2101-Interne-Aufschreibung;;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;7dc01399-e393-444c-8b5e-c6bdb6e884d2;1;6;10. Jun;Management;;51112c9f-28a8-4f27-834e-db850cb8218a;835-IOT2101-Interne-Aufschreibung;;
2021-05-02 12:55:08.091;benedikt.hoelker@iot-onlinde.;2021-05-02 12:55:08.091;benedikt.hoelker@iot-onlinde.;d439e362-ecdf-4d78-8fed-86c7c639b131;a260636d-42cf-41d4-81b4-10b58c972ace;1;7;10. Jul;Produktentwicklung;Entwicklung und Betreuung von IOT Produkten;51112c9f-28a8-4f27-834e-db850cb8218a;692-IOT1504-Produktentwicklung;;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;6df4c217-7b37-47c3-b213-062ec9b1ea19;1;1;12. Jan;RDF Fiori Migration;;5601805f-8801-45d9-bde7-fc3863e205ce;845-KEB2102-Fiori-Repair-Documentation-Framework;;
2021-05-02 12:55:08.091;anonymous;2021-06-19 18:46:42.074;Benedikt.Hoelker@iot-online.de;d439e362-ecdf-4d78-8fed-86c7c639b131;dd752480-c2af-47ad-84ab-cad44fc25f42;1;1;09. Jan;HCOB FSDM UI Generator;Erstellung von Elements Oberflaechen fuer FSDM;af614f31-9823-47ca-b2c3-ab5dc7a10e5d;610-IOT1302-DUMMY;;
2021-05-02 12:55:08.091;Benedikt.Hoelker@iot-online.de;2021-05-02 12:55:08.091;anonymous;d439e362-ecdf-4d78-8fed-86c7c639b131;d0ad0edf-64a6-4cf0-ad0e-0f12cd668c92;1;1;09. Feb;FSDM Business Glossar;Verwaltung von Anforderungen bzgl. FSDM;af614f31-9823-47ca-b2c3-ab5dc7a10e5d;610-IOT1302-DUMMY;Benedikt.Hoelker@iot-online.de;
