createdAt;createdBy;modifiedAt;modifiedBy;ID;project_ID;title;IOTPackageID;description
2021-10-31 16:40:04.317;benedikt.hoelker@iot-online.de;2021-10-31 16:40:28.718;benedikt.hoelker@iot-online.de;2505675e-77ee-43f8-ab5d-54626891f35c;151d0142-afae-4dd8-bcc7-9402677c84fa;FRC @ Klingele;;Fiori Readiness Check (Klingele)
2021-10-31 16:40:04.317;benedikt.hoelker@iot-online.de;2021-10-31 16:40:28.718;benedikt.hoelker@iot-online.de;ee64a87a-dd29-4a38-8b75-1caad0d89d0a;151d0142-afae-4dd8-bcc7-9402677c84fa;FRC @ Doduco;;Fiori Readiness Check @ Doduco
2021-10-31 16:40:04.317;benedikt.hoelker@iot-online.de;2021-10-31 16:40:28.718;benedikt.hoelker@iot-online.de;7798251e-ff2e-4558-aca0-e03b7e495964;151d0142-afae-4dd8-bcc7-9402677c84fa;FRC @ Hauff;;Fiori Readiness Check @ Hauff
2021-10-31 16:40:04.317;benedikt.hoelker@iot-online.de;2021-10-31 16:40:28.718;benedikt.hoelker@iot-online.de;c8bf524e-1553-4e11-8ec3-2e2bbe7f575c;151d0142-afae-4dd8-bcc7-9402677c84fa;FRC @ FAM;;Fiori Readiness Check @ FAM
2021-10-31 16:40:04.317;benedikt.hoelker@iot-online.de;2021-10-31 16:40:28.718;benedikt.hoelker@iot-online.de;9c660d11-e241-4241-a433-e9885130e485;151d0142-afae-4dd8-bcc7-9402677c84fa;Allgemein / CAS-intern;;
2021-10-31 16:40:04.317;benedikt.hoelker@iot-online.de;2021-10-31 16:40:28.718;benedikt.hoelker@iot-online.de;5a904c70-8021-4114-b7b3-d66dd5bded38;ddf29771-86bb-48d5-adac-962f6d3a75b8;Management;05-Management;
2021-10-31 16:40:04.317;benedikt.hoelker@iot-online.de;2021-10-31 16:40:28.718;benedikt.hoelker@iot-online.de;5f11e95a-50ed-45be-96bc-fe425984a63e;ddf29771-86bb-48d5-adac-962f6d3a75b8;Administratives;01-Bürotätigkeiten;
2021-10-31 16:40:04.317;benedikt.hoelker@iot-online.de;2021-10-31 16:40:28.718;benedikt.hoelker@iot-online.de;b2db2a25-4422-4307-8f77-a4f35845e0e4;ddf29771-86bb-48d5-adac-962f6d3a75b8;Wochenplanung & Check-In;09-Interne Aufschreibung;
2021-10-31 16:40:04.317;benedikt.hoelker@iot-online.de;2021-10-31 16:40:28.718;benedikt.hoelker@iot-online.de;a1b2ee63-7e37-4c6d-9697-075777a61a43;ddf29771-86bb-48d5-adac-962f6d3a75b8;Urlaub;03-Urlaub;
2021-10-31 16:40:04.317;benedikt.hoelker@iot-online.de;2021-10-31 16:40:28.718;benedikt.hoelker@iot-online.de;8e8a236a-de19-4543-a9f2-0f7390c5b8a0;ddf29771-86bb-48d5-adac-962f6d3a75b8;Krankheit;02-Krankheit;
2021-10-31 16:40:04.317;benedikt.hoelker@iot-online.de;2021-10-31 16:40:28.718;benedikt.hoelker@iot-online.de;704db611-1a51-4450-b4e6-61daf01446fd;151d0142-afae-4dd8-bcc7-9402677c84fa;Saxonia Coaching;;Coaching @ Saxonia
2021-10-31 16:40:04.317;benedikt.hoelker@iot-online.de;2021-10-31 16:40:28.718;benedikt.hoelker@iot-online.de;c249442d-319a-4eeb-a526-fbfa8e8875ec;ddf29771-86bb-48d5-adac-962f6d3a75b8;Entwicklung & Recherche;11-Fortbildung;
2021-10-31 16:36:36.925;benedikt.hoelker@iot-online.de;2021-10-31 16:39:50.893;anonymous;87dc6d36-c47e-420f-bbc9-a639000f2db0;a260636d-42cf-41d4-81b4-10b58c972ace;Validator;60-FIORI generische Komponenten;
