createdAt;createdBy;modifiedAt;modifiedBy;ID;title;description;parent_ID;mappingID;hierarchyLevel;friendlyID;manager_userPrincipalName
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;020db38e-6449-4f97-a9ff-176e962966e4;Intorq Kommissioniercockpit;Fiori Entwicklung Kommi-Cockpit;1ec5e099-2373-45a1-b937-aa81a0afd060;749-INQ1601-Einführung-SAP-EWM;1;Kommicockpit;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;b5cfe8cd-174f-4491-9e99-d81742725825;Versandcockpit;Intorq Versandcockpit;1ec5e099-2373-45a1-b937-aa81a0afd060;800-INQ1901-FIORI;1;Versandcockpit;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;9f6c35c0-8b2e-46f8-832b-857e84c59240;Intorq Wartung;Wartung EWM & Kommi-Cockpit;1ec5e099-2373-45a1-b937-aa81a0afd060;812-INQ2001-Wartung-&-Support;1;Wartung;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;6cbc3e99-169b-4abf-af2f-53b86b4db421;Fiori bei Manufactum;B&B Erweiterung Reservierungsapp;48d9e826-e8e0-4740-9a06-9678289e7633;837-MAN2102-Kleinstprojekte;1;Fiori @ MAN;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;1a3007e3-7adb-4416-82f3-f17ba16a0442;Phoenix Contact;Fiori Einfuehrung;382d21b9-5da7-4661-96c3-f28196a0401f;;1;Fiori WS;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;22dd878e-51f0-4f85-8e17-3fc14085d05f;Fiori Store Solutions;Filialwarenwirtschaft;e1bde938-695d-40a1-87e3-7458538e5611;827-CAS2003-Esprit-FSS-Rollout;1;FSS;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;12f84094-e2ef-4667-9165-e84a7199db73;Receipt 4S;Bondatenarchivierung;f08c9b63-3e1c-403e-946c-fdbc77a64eba;830-CON-2001-Receipt4S-goes-Fiori;1;Receipt4S;
2021-05-02 12:55:08.091;anonymous;2021-06-19 18:46:42.074;Benedikt.Hoelker@iot-online.de;dd752480-c2af-47ad-84ab-cad44fc25f42;HCOB FSDM UI Generator;Erstellung von Elements Oberflaechen fuer FSDM;af614f31-9823-47ca-b2c3-ab5dc7a10e5d;610-IOT1302-DUMMY;1;FSDM UI;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;ddf29771-86bb-48d5-adac-962f6d3a75b8;Interne Aufschreibung;;51112c9f-28a8-4f27-834e-db850cb8218a;835-IOT2101-Interne-Aufschreibung;1;Intern;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;6df4c217-7b37-47c3-b213-062ec9b1ea19;RDF Fiori Migration;;5601805f-8801-45d9-bde7-fc3863e205ce;845-KEB2102-Fiori-Repair-Documentation-Framework;1;RDF Fiori Migration;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;da46c750-02d0-4939-959c-cd4237ffe9a8;Vertrieb;;51112c9f-28a8-4f27-834e-db850cb8218a;815-IOT2002-Vertrieb;1;Vertrieb;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;cb1cfc22-a33f-4c2e-b2d4-465755b00353;IOT Wochenplanung;;51112c9f-28a8-4f27-834e-db850cb8218a;835-IOT2101-Interne-Aufschreibung;1;Wochenplanung;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;964dda6e-d9d9-4c22-be14-6fb2cda9e350;IOT Check-in Meeting;;51112c9f-28a8-4f27-834e-db850cb8218a;835-IOT2101-Interne-Aufschreibung;1;Check-in Meeting;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;14d5f223-0e2f-4e87-84dc-7f74e6336738;Privat;;3d15c8e5-9b70-4d47-9942-452e06728571;Privat;1;Privat;
2021-05-06 08:42:50.069;Benedikt.Hoelker@iot-online.de;2021-05-06 08:42:50.069;Benedikt.Hoelker@iot-online.de;151d0142-afae-4dd8-bcc7-9402677c84fa;CAS AG Fiori Unterstützung;Fiori @ CAS;1dc43734-beef-4e25-81cd-63822ef303ab;850-CAS2105-Fiori-Readiness-Check;1;CAS AG Unterstützung;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;43dccf1c-e168-4e69-9444-9aad73fa8ec8;Urlaub;;51112c9f-28a8-4f27-834e-db850cb8218a;835-IOT2101-Interne-Aufschreibung;1;Urlaub;
2021-05-02 12:55:08.091;anonymous;2021-05-02 12:55:08.091;anonymous;7dc01399-e393-444c-8b5e-c6bdb6e884d2;Management;;51112c9f-28a8-4f27-834e-db850cb8218a;835-IOT2101-Interne-Aufschreibung;1;Management;
2021-05-06 08:42:50.069;Benedikt.Hoelker@iot-online.de;2021-05-02 12:55:08.091;Benedikt.Hoelker@iot-online.de;d701630f-0651-4b28-be84-848fe9913f1b;Saxonia Coaching;Coaching insb. Tizian Dauler (WM-Anwendungen);09026668-9083-4893-831f-dac63a4202ff;850-CAS2105-Fiori-Readiness-Check;1;Saxonia Coaching;
2021-05-02 12:55:08.091;Benedikt.Hoelker@iot-online.de;2021-05-28 11:28:42.083;Benedikt.Hoelker@iot-online.de;b208d086-144b-4696-ab56-b3119a6dd4e7;Virtuelle Kasse;;f7847ed4-1ea9-4e99-b2cb-b30d5afcce48;810-FRA2001-ERP-AM;1;Virtuelle Kasse;
2021-05-02 12:55:08.091;;2021-05-28 11:28:42.083;;e0631475-3752-4083-b539-b4f1478b17c7;DELETED;;b75f893b-bede-4e47-b4e7-2bdd190fa3b2;;1;DELETED;
2021-05-02 12:55:08.091;anonymous;2021-05-28 11:28:42.083;anonymous;94243d69-41de-4485-8827-9688abb1b126;Frankonia Filialapps;Alles rund um die Filiale;f7847ed4-1ea9-4e99-b2cb-b30d5afcce48;810-FRA2001-ERP-AM;1;Filialapps;
2021-05-02 12:55:08.091;benedikt.hoelker@gmail.com;2021-05-28 11:28:42.083;benedikt.hoelker@gmail.com;bf1f1aa2-fdfc-4253-9f30-a0ba3da9557d;Ein neues Projekt;;48d9e826-e8e0-4740-9a06-9678289e7633;789;1;MAN Test;
2021-05-28 11:28:42.083;benedikt.hoelker@gmail.com;2021-05-28 11:28:42.083;benedikt.hoelker@gmail.com;e472e9e0-430e-41b9-87d1-fc1f515c9f23;Test;;1ec5e099-2373-45a1-b937-aa81a0afd060;;1;Test;
2021-05-28 11:28:42.083;anonymous;2021-05-28 11:28:42.083;Benedikt.Hoelker@iot-online.de;4571b2c7-17b8-44a3-8851-9ce5ddf90fff;Fiori @ WSW Strategie;Einfuehrung von Fiori im Rahmen von S/4;cc9a6a23-7afe-4e79-86b2-d43c36e4158c;844-WSW2101-Einführung-SAP-Fiori;1;Fiori @ WSW;
2021-05-28 11:28:42.083;benedikt.hoelker@iot-onlinde.;2021-05-28 11:28:42.083;benedikt.hoelker@iot-onlinde.;a260636d-42cf-41d4-81b4-10b58c972ace;Produktentwicklung;Entwicklung und Betreuung von IOT Produkten;51112c9f-28a8-4f27-834e-db850cb8218a;692-IOT1504-Produktentwicklung;1;PE;
2021-05-28 11:28:42.083;benedikt.hoelker@iot-onlinde.;2021-05-28 11:28:42.083;anonymous;26374956-98fb-4850-b544-f757fe536e96;PM Apps;Erfassung von Aufträgen und Nachschlagen von Ersatzteilverfügbarkeiten;0f709da0-36b5-497a-8616-a03b700e936b;610-IOT1302-DUMMY;1;PM Apps;
2021-05-28 11:28:42.083;Benedikt.Hoelker@iot-online.de;2021-05-28 11:28:42.083;Benedikt.Hoelker@iot-online.de;2b644adc-a980-4cb4-8c1a-ff3d6899a81c;Ablösung BSPs;;3a479c15-7bb1-4380-aaf2-89200c6e389b;862-MEN2101-FIORI;1;BSP;
