createdAt;createdBy;modifiedAt;modifiedBy;ID;friendlyID;name
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;48d9e826-e8e0-4740-9a06-9678289e7633;MAN;Manufactum
2021-05-02 14:55:08.091;anonymous;2021-05-28 13:28:42.083;Benedikt.Hoelker@iot-online.de;f7847ed4-1ea9-4e99-b2cb-b30d5afcce48;FRA;Frankonia
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;1ec5e099-2373-45a1-b937-aa81a0afd060;INQ;Intorq
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;382d21b9-5da7-4661-96c3-f28196a0401f;Phoenix;Phoenix Contact
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;e1bde938-695d-40a1-87e3-7458538e5611;Esprit;Esprit
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;830f1de8-f355-4d75-964a-6fb9a9167f42;Kendrion;Kendrion
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;f08c9b63-3e1c-403e-946c-fdbc77a64eba;CSK;Consult-SK
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;32a65d98-d32c-41b7-b525-3be5caeabffe;Vonovia;Vonovia
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;af614f31-9823-47ca-b2c3-ab5dc7a10e5d;HCOB;CAS HCOB
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;51112c9f-28a8-4f27-834e-db850cb8218a;IOT;IOT GmbH
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;cc9a6a23-7afe-4e79-86b2-d43c36e4158c;WSW;Wuppertaler Stadtwerke
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;5601805f-8801-45d9-bde7-fc3863e205ce;KEB;KEB Automation GmbH
2021-05-02 14:55:08.091;anonymous;2021-05-02 14:55:08.091;anonymous;3d15c8e5-9b70-4d47-9942-452e06728571;Privat;Privat
2021-05-02 14:55:08.091;Benedikt.Hoelker@iot-online.de;2021-05-02 14:55:08.091;Benedikt.Hoelker@iot-online.de;1dc43734-beef-4e25-81cd-63822ef303ab;CAS;CAS AG
2021-05-02 14:55:08.091;Benedikt.Hoelker@iot-online.de;2021-05-02 14:55:08.091;Benedikt.Hoelker@iot-online.de;09026668-9083-4893-831f-dac63a4202ff;Saxonia;SAXONIA Edelmetalle GmbH
;;;;b75f893b-bede-4e47-b4e7-2bdd190fa3b2;DELETED;DELETED
2021-07-25 07:36:30.987429;benedikt.hoelker@iot-onlinde.;2021-07-25 07:36:30.987429;benedikt.hoelker@iot-onlinde.;0f709da0-36b5-497a-8616-a03b700e936b;Stabilus;Stabilus
2021-10-25 08:44:30.404366;Benedikt.Hoelker@iot-online.de;2021-10-25 08:49:04.249506;anonymous;3a479c15-7bb1-4380-aaf2-89200c6e389b;Mennekes;Mennekes Elektrotechnik GmbH & Co. KG
2021-10-31 18:23:04.327957;Benedikt.Hoelker@iot-online.de;2021-10-31 18:23:04.327957;Benedikt.Hoelker@iot-online.de;d6fe438a-07b7-44c1-b959-4017b430fda7;Gelsenwasser;Gelsenwasser
